entity_id,P,A,Comp,GSI,OSR,NDVI,NDBI,FAR,SC,AH,Po,UH,UA,Longitude,Latitude,hdbscan_labels
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1005,0.432220355,0.635328081,0.859113929,0.353027747,0.071754425,0.436283357,0.658931833,0.349451791,0.020082454,-0.137088281,0.789805666,-0.468528084,0.54903029,118.7451226,32.04419332,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1006,0.408564207,0.629520209,0.92839097,0.158106714,0.12502516,0.574380089,0.523864635,0.990141613,0.015473088,3.07287864,0.902176878,3.928605947,0.641635931,118.9221413,32.04415931,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1007,0.402815148,0.628767821,0.951386857,0.333379699,0.075552029,0.435647411,0.579780804,0.510570614,0.020821082,0.112268793,0.843417962,-0.118919934,0.573968173,118.7404749,32.04419631,23
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1008,0.380582825,0.613908977,0.944428044,0.179176334,0.116728912,0.611874874,0.560572231,-0.412771533,0.014321998,-0.075948634,0.887647393,-0.568428277,0.642522986,118.9159963,32.04439855,18
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1009,0.32242436,0.574024569,0.918523288,0.28892729,0.085042431,0.374048954,0.716104842,1.72660265,0.015219563,1.777669468,0.815940458,1.411590324,0.615274297,118.7750662,32.04480086,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1010,0.409524086,0.621757977,0.864404298,0.170444325,0.120042215,0.591920913,0.575943945,0.554047297,0.01354358,1.883464424,0.915603428,2.406585353,0.651826372,118.9184083,32.04657781,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1011,0.321213246,0.574139941,0.925433133,0.357905329,0.070844435,0.3271798,0.709755027,2.496318261,0.015349557,1.828920589,0.850762217,1.640243193,0.587742869,118.7725531,32.04502984,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1012,0.419843465,0.635435845,0.91904361,0.20752708,0.106987542,0.603501778,0.654402354,0.046194573,0.015397847,0.441192308,0.905209801,0.334031398,0.603354445,118.8879698,32.03775122,35
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1013,0.464553283,0.668304323,0.956829607,0.262618706,0.091373821,0.449022164,0.640637986,-0.228770897,0.015790669,-0.344718424,0.804100357,-0.63712225,0.604876662,118.8991776,32.04682722,38
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1014,0.405765795,0.630142932,0.947476531,0.360953685,0.070281993,0.466634713,0.571315675,1.597818588,0.013029798,0.975094338,0.865387346,1.452050189,0.640746145,118.7864276,32.04463249,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1015,0.292145951,0.556932636,0.934176945,0.325166784,0.077206226,0.523791352,0.658669581,3.014184162,0.013178934,2.706874931,0.807441728,2.663610934,0.643728106,118.7840742,32.04573979,13
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1016,0.45355455,0.635817186,0.769223242,0.288708372,0.085092698,0.594637723,0.508680955,0.033200017,0.017271658,-0.162345139,0.867011366,-0.324058671,0.63164415,118.8201382,32.04394992,28
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1017,0.446962914,0.623101019,0.71492995,0.391138337,0.06495598,0.497356637,0.645950893,0.734005564,0.016207322,0.040909973,0.920888225,0.707053172,0.639389053,118.8184545,32.04415596,15
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1018,0.245470576,0.519757833,0.874252413,0.282623042,0.08650545,0.588034332,0.681472115,0.306591942,0.018619959,0.190112407,0.797986917,-0.301571125,0.586254676,118.7894262,32.04618175,27
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1019,0.435819639,0.63876302,0.867730488,0.194397158,0.111321914,0.584240889,0.601684759,0.558078795,0.011654819,1.45468525,0.915694049,2.78918126,0.656195023,118.9276412,32.04608429,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1020,0.45246881,0.640520579,0.805443434,0.265816682,0.090571142,0.584180469,0.666882442,1.119912021,0.014642185,1.319955381,0.887575823,1.559355479,0.592424281,118.7510069,32.04550424,15
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1021,0.502155682,0.683702983,0.891617703,0.293101972,0.084091082,0.525229157,0.532599485,0.049593209,0.015754647,-0.166153926,0.858951043,-0.340830256,0.615649875,118.8155511,32.04441495,29
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1022,0.510318972,0.695862583,0.946677714,0.444166032,0.05652465,0.502966614,0.529681357,1.131276768,0.014583345,0.13500612,0.846528098,0.325309261,0.659451023,118.8028035,32.04485034,15
